ticker,sector,roe,roa,profit_margin,operating_margin,debt_to_equity,current_ratio,revenue_growth,eps_growth,asset_turnover,pe_ratio,pb_ratio,ps_ratio,peg_ratio,ev_ebitda,fcf_yield,market_cap,revenue,net_income,free_cash_flow,label
ANET,Technology,28.535358411623157,20.308103413569473,40.725325446592144,42.04704571345507,,4.359387707148247,19.504184862959562,15.5,49.86603100373464,44.65019,12.41857,17.503763,2.8806574193548387,37.528,2.485972625334972,147877855232,7003146000.0,2852054000.0,3676203000.0,good_quality_overvalued
AJG,Financial Services,7.257796412533803,2.276391638342111,12.658698906957222,19.750062743944127,0.6691244696950902,1.5075903597987752,14.72413348027681,-25.2,17.98282473636375,40.161343,2.7821612,5.345267,,22.347,3.7807831394188813,64563343360,11554900000.0,1462700000.0,2441000000.0,bad_quality_overvalued
AIZ,Financial Services,14.886325807272799,2.170722374830814,6.400336771206063,5.12026941696485,0.4079150919380422,1.5,6.700743828380467,102.69999999999999,33.915752442847925,13.830488,1.9772135,0.910608,0.13466882181110032,8.157,9.710655907404844,11445158912,11877500000.0,760200000.0,1111400000.0,bad_quality_undervalued
T,Communication Services,10.489403288238226,2.7730847655112147,8.949123724823437,19.719461156160083,1.35019928716514,0.6649598907663424,-0.07514620838370308,0.0,30.98722121607417,8.446255,1.6650614,1.4767789,,7.707,10.06802880943218,183829430272,122336000000.0,10948000000.0,18508000000.0,bad_quality_undervalued
ATO,Utilities,8.841092449308166,4.243448791806106,25.490462505488804,33.17142823727794,0.6861554301273924,0.7725549770111146,12.906215255161413,25.6,16.647202030533474,23.479893,2.087226,6.022472,0.9171833203124999,16.115,-5.3383656163609,28322207744,4702755000.0,1198754000.0,-1511943000.0,bad_quality_undervalued
ADSK,Technology,42.426554750095384,10.26493122865319,18.137334855651606,22.32914695808188,0.9763449065242273,0.6759852455833819,11.533563762052028,12.3,56.5955875565402,60.58333,22.814999,9.41939,4.9254739837398365,37.864,2.419028070455993,62215069696,6131000000.0,1112000000.0,1505000000.0,good_quality_overvalued
ADP,Technology,65.92921784098255,7.644282387065222,19.842030261321245,26.321318619321136,1.4649967679379443,1.0478193142643957,7.073521293991439,6.4,38.5257067265263,25.011858,16.079279,4.905243,3.9081028124999997,17.159,4.284045913619175,102536249344,20560900000.0,4079700000.0,4392700000.0,bad_quality_overvalued
AZO,Consumer Cyclical,0.0,12.90728587131892,13.191215645706095,19.062305012530683,,0.8762507751278784,2.425324500434499,-5.6000000000000005,97.8475844682321,26.88193,-19.025278,3.429914,,18.26,2.7557426958493036,64958169088,18938717000.0,2498247000.0,1790080000.0,bad_quality_overvalued
AVB,Real Estate,9.06109759475934,5.152171564264626,37.133982003303636,31.428495924677314,0.6909360550944587,0.35787400255934393,5.269248374856255,2.4,13.874546402823862,22.034145,2.1404285,8.391733,9.18089375,18.487,5.48031157713371,25725763584,2913757000.0,1081994000.0,1409852000.0,bad_quality_undervalued
AVY,Consumer Cyclical,30.484798685291704,8.387472930201566,8.050755507840607,12.73912993821168,1.3632314146088311,1.0754908125480334,4.679411307581029,-5.3,104.18243259322719,19.348467,5.9785357,1.5023687,,11.403,5.305191507461822,13175773184,8755700000.0,704900000.0,699000000.0,bad_quality_undervalued
AXON,Industrials,16.197949447192787,8.426116549724801,18.104647913159308,2.8110093223325903,0.3100411786060279,1.3692801907174252,33.435467056748294,0.0,46.54117876327385,164.1478,13.600926,16.102879,,573.671,0.800007793491333,41190473728,2082526000.0,377034000.0,329527000.0,good_quality_overvalued
BKR,Energy,17.63243563184374,7.765294684982926,10.704660605842827,12.152790254770204,0.3564960047351287,1.324840274035871,9.107660942523328,-20.8,72.54125068425306,16.855173,2.6555116,1.7405907,,11.019,4.2584502939470825,48233508864,27829000000.0,2979000000.0,2054000000.0,good_quality_undervalued
BALL,Consumer Cyclical,68.37256908904811,22.736555479918312,33.980500211954215,10.029673590504451,0.9677584442169908,0.9987621208995254,-2.213563256508042,81.10000000000001,66.91059677785341,19.404669,2.4695454,1.0691717,0.23926842170160292,10.297,-2.718819813987809,13572065280,11795000000.0,4008000000.0,-369000000.0,good_quality_undervalued
BAC,Financial Services,9.179893016284396,0.8318823223166874,26.62950131027511,21.303601048220084,1.1052615552224767,1.5,3.353587405280937,31.5,3.1239125082515233,14.087432,1.3585941,3.7646234,0.4472200634920635,0.0,-2.3055639412923816,381902225408,101887000000.0,27132000000.0,-8805000000.0,bad_quality_undervalued
BAX,Healthcare,-9.319356691556576,-2.517260103948491,-6.101918014291087,4.1274915381722455,1.931217690982194,1.359698970972201,2.664092664092664,0.0,41.25358777441626,6.3576384,1.2995954,0.85388386,,8.376,5.9389985910205,9412361216,10636000000.0,-649000000.0,559000000.0,bad_quality_undervalued
BDX,Healthcare,,,0.0,0.0,0.7767777820696049,1.168825368468066,,25.2,,33.1134,2.1754885,2.5292513,1.3140238095238095,13.091,5.561303884029463,55238844416,,,3072000000.0,bad_quality_undervalued
BRK-B,Financial Services,13.704863806039103,7.7126670774542605,20.97790831431858,16.782326651454866,0.19212834633058604,1.5,-3.4381351900704926,17.2,36.765663010310426,16.12928,0.0010386702,2.9220672,0.9377488372093025,-2.421,1.0682528491790213,1087383011328,424232000000.0,88995000000.0,11616000000.0,good_quality_undervalued
BBY,Consumer Cyclical,33.01282051282051,6.271140576376674,2.23222885763822,4.175496050857253,1.4433760683760684,1.0259481037924152,-4.42787443615944,-35.099999999999994,280.93627384657015,21.060604,5.9222245,0.38841897,,7.192,8.6152190764257,16157453312,41528000000.0,927000000.0,1392000000.0,bad_quality_undervalued
TECH,Healthcare,3.8252915351614125,2.8695773198616976,6.018193967867436,19.907923272126496,0.23142388399464667,3.459217851679566,5.226217797180474,14.299999999999999,47.681702105034354,125.57143,4.8748217,7.879431,8.781218881118882,30.886,2.6759760752439234,9587155968,1219635000.0,73400000.0,256550000.0,bad_quality_overvalued
BIIB,Healthcare,9.764297678870543,5.81904004734521,16.86871505493029,22.932233694023296,0.39664393395549175,1.3487194327883085,-1.6236935214933506,19.2,34.4960480297191,15.979945,1.4124112,2.5548544,0.8322888020833334,8.314,9.782280190408855,25716908032,9675900000.0,1632200000.0,2515700000.0,good_quality_undervalued
BLK,Financial Services,13.409832613959363,4.594740828914619,31.209878963100895,36.938305483412556,0.2994420465312138,16.397135416666668,14.267316199115292,-22.6,14.722071925837751,26.112196,2.8352053,6.879385,,18.413,2.9859994479294683,157434724352,20407000000.0,6369000000.0,4701000000.0,good_quality_overvalued
BX,Financial Services,33.809053494134,6.387200331263893,25.401379986716115,20.321103989372894,1.4961297786581893,1.5,56.002391442756725,-21.4,25.145091859592416,40.997128,13.306286,13.698785,,0.0,1.9519302103130667,175224143872,10930540000.0,2776508000.0,3420253000.0,good_quality_overvalued
XYZ,Technology,13.62166758855539,7.877206217535432,12.010449958382829,6.992016476229292,0.372326420829256,2.326040816689478,10.06327769007525,64.4,65.58627066288592,12.464789,1.6769077,1.5752106,0.19355262422360245,22.117,4.113479014376615,37763727360,24121053000.0,2897047000.0,1553403000.0,good_quality_undervalued
BK,Financial Services,10.9637446149378,1.0887748038763267,24.81104173512981,19.848833388103845,0.7594752892201946,1.5,4.4030192131747485,25.3,4.388267189663129,15.357864,1.900943,3.8035262,0.6070301976284584,0.0,-1.0418501033402752,75058782208,18258000000.0,4530000000.0,-782000000.0,bad_quality_undervalued
BA,Industrials,0.0,-7.557414477849619,-17.765383285475895,-16.272531833967257,,1.318506767753765,-14.495976553461706,0.0,42.540114988840074,382.34042,-16.53478,1.69136,,-27.628,-10.541100321972358,136589156352,66517000000.0,-11817000000.0,-14398000000.0,bad_quality_overvalued
BKNG,Consumer Cyclical,0.0,21.228526057456328,24.77779181936897,31.82526643919289,,1.3095801112034255,11.111631172478353,13.5,85.6756171502815,31.05582,-32.524765,5.9345727,2.300431111111111,15.78,5.108382194941296,154530332672,23739000000.0,5882000000.0,7894000000.0,good_quality_overvalued
BSX,Healthcare,8.516306844281122,4.706180987434953,11.070639517525526,17.925598614677256,0.5120349104271934,1.0814189717143303,17.605337078651687,60.0,42.51047087193806,51.807484,6.138639,7.422553,0.8634580666666667,30.492,1.6467182602953725,143618981888,16747000000.0,1854000000.0,2365000000.0,bad_quality_overvalued
BMY,Healthcare,-54.77808386899296,-9.662753906460914,-18.525879917184266,12.18840579710145,3.1343740434649527,1.2526289223521494,7.319024130115985,80.9,52.15813742535339,15.572391,5.075724,1.9601444,0.19248938195302842,6.699,14.807721511434824,94153580544,48300000000.0,-8948000000.0,13942000000.0,bad_quality_undervalued
AVGO,Technology,8.710363781435621,3.558815539255637,11.430177996664986,29.076666537402566,0.998345104760779,1.1735641133137689,43.98503587481504,188.1,31.13525913851912,87.007675,5.744584,26.808874,0.46256073896863376,5.167,1.2084290611056683,1606548586496,51574000000.0,5895000000.0,19414000000.0,bad_quality_overvalued
BR,Technology,31.61720397710154,9.824458747805734,12.18591688319229,17.253342236286308,1.3027267249171437,0.9762531563960672,5.875391897707014,105.89999999999999,80.6214160327677,29.243279,10.114703,3.7784748,0.27614050047214356,17.118,3.9625786329242594,26659407872,6889100000.0,839500000.0,1056400000.0,good_quality_overvalued
BRO,Financial Services,15.467289719626168,5.638201226436521,21.105207226354942,29.054197662061636,0.632398753894081,1.096610706366804,12.050488211478925,-16.1,26.714739950034065,24.339394,2.1853402,5.125779,,19.393,3.9820706675985993,27422918656,4705000000.0,993000000.0,1092000000.0,bad_quality_overvalued
BF-B,Consumer Defensive,21.763085399449036,10.746970071728915,21.861635220125784,29.358490566037737,0.6844477836213373,3.884259259259259,-4.858784107228339,-12.3,49.15904031659659,15.893855,3.3724515,3.4102504,,12.926,3.2012076979253448,13463668736,3975000000.0,869000000.0,431000000.0,good_quality_overvalued
BLDR,Industrials,25.087990838991082,10.185101018738768,6.572351609939507,9.726836243693176,1.0084615975440303,1.7674457990767893,-4.075712406557047,-54.900000000000006,154.96890037556153,19.282734,2.602838,0.7178917,,10.005,13.278424811941175,11237198848,16400492000.0,1077898000.0,1492123000.0,bad_quality_undervalued
